coin_name,symbol,price,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,volume_24h,market_cap,market_cap_rank,momentum_score,momentum_type,category,high_24h,low_24h,ath,ath_date,circulating_supply,total_supply,hl_price,hl_token_id,hl_sz_decimals
GMX GMX,GMX,8.9,0.7910185570378234,2.8926,-12.288791895458305,16315034.0,92724876.0,486.0,11.11046695322424,⚠️ MIXED,Derivatives,8.99,7.95,91.07,2023-04-18T10:00:25.680Z,10344746.0426927,10344746.0426927,8.7387,gmx,2
LayerZero ZRO,ZRO,1.45,1.239620040572817,4.54949,-13.776415810418056,85820535.0,161838189.0,342.0,11.102204683947342,⚠️ MIXED,Layer 0 (L0),1.46,1.31,7.47,2024-12-06T14:15:52.674Z,111152854.20763355,1000000000.0,1.4529,zro,1
Plasma XPL,XPL,0.283683,4.304711941301954,11.34545,-21.431662192376177,434819797.0,541327731.0,152.0,10.69191251130992,⚠️ MIXED,Echo Launchpad,0.287981,0.229687,1.68,2025-09-28T01:31:40.327Z,1888888888.8889,10000000000.0,0.25687,xpl,0
Hyperliquid HYPE,HYPE,41.12,2.4359693304486387,8.44185,-16.37025262479101,1110159106.0,11194834411.0,17.0,9.471647816173324,⚠️ MIXED,Derivatives,41.35,35.9,59.3,2025-09-18T03:30:30.650Z,270772999.4341414,999835210.4341414,39.1725,hype,2
Polkadot DOT,DOT,2.6,1.4143454200494348,0.06661,-16.357588104265773,370196595.0,4258139643.0,39.0,8.759816842303577,⚠️ MIXED,Layer 0 (L0),2.64,2.37,54.98,2021-11-04T14:10:09.301Z,1633683462.892296,1633683462.892296,2.585,dot,1
Pendle PENDLE,PENDLE,2.64,1.519870822837748,-1.03764,-19.31176875537984,89566375.0,445001199.0,176.0,7.267974662415614,⚠️ MIXED,Derivatives,2.76,2.49,7.5,2024-04-11T08:25:36.646Z,168471227.0487823,281527448.4585314,2.68875,pendle,0
UMA UMA,UMA,0.925583,1.5540578387301187,-5.57179,-17.89004127813004,16706398.0,81974694.0,523.0,6.483258056494007,⚠️ MIXED,Derivatives,1.001,0.886695,41.56,2021-02-04T11:27:11.433Z,88212079.7901161,126495701.8711396,0.98086,uma,1
Avantis AVNT,AVNT,0.521413,1.350888764388694,-4.0893,-20.069559639351247,63845352.0,135097453.0,395.0,6.015563897137241,⚠️ MIXED,Derivatives,0.550587,0.498461,2.64,2025-09-22T00:21:56.300Z,258205903.1466792,1000000000.0,0.55704,avnt,0
AltLayer ALT,ALT,0.01565979,1.3868634582553825,-8.90801,-18.341892427414543,31816994.0,74230815.0,554.0,5.268212720685257,⚠️ MIXED,Rollups-as-a-Service (RaaS),0.01719118,0.01486926,0.676743,2024-03-28T23:20:10.066Z,4718402775.0,10000000000.0,0.016496,alt,0
Dymension DYM,DYM,0.078505,1.8963928069681728,-3.91214,-19.265147771441075,8216029.0,31199734.0,942.0,3.499577452817205,⚠️ MIXED,Rollups-as-a-Service (RaaS),0.082985,0.070934,8.5,2024-02-14T14:29:43.198Z,397385244.0,1000000000.0,0.08118,dym,1
