coin_name,symbol,price,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,volume_24h,market_cap,market_cap_rank,momentum_score,momentum_type,category,high_24h,low_24h,ath,ath_date,circulating_supply,total_supply
PRivaCY Coin PRCY,PRCY,0.00312952,0.6403146750236577,99.56033,145.92261037178997,46982.0,50283.0,8386.0,112.97753158840209,📈 STRONG UPTREND,Masternodes,0.00499655,0.00149186,3.0,2021-06-29T23:45:39.094Z,16067209.81271498,62171601.06271499
Dash DASH,DASH,108.75,6.449367502299874,-14.66529,124.381384194122,1358403737.0,1350242457.0,81.0,56.642840178108784,⚡ RECOVERING,Masternodes,142.25,101.5,1493.59,2017-12-20T00:00:00.000Z,12473042.60861232,12473198.95547764
Internet Computer ICP,ICP,5.03,3.4518245220760635,0.11816,62.82645392530858,1042413643.0,2703208364.0,52.0,47.496038319277105,📈 STRONG UPTREND,Layer 0 (L0),6.32,4.76,700.65,2021-05-10T16:05:53.653Z,539521483.170866,539521483.170866
Caldera ERA,ERA,0.345533,17.039154094261303,45.15764,14.648576554870049,84403805.0,63959050.0,596.0,45.49909050571342,📈 STRONG UPTREND,Rollups-as-a-Service (RaaS),0.372096,0.221567,1.88,2025-07-17T20:36:33.109Z,174750000.0,1000000000.0
LAB LAB,LAB,0.15567,1.2444354705202043,9.4142,0.175114663408347,32517432.0,11936644.0,1548.0,19.226567972860234,📈 STRONG UPTREND,Echo Launchpad,0.17125,0.136726,0.413318,2025-10-30T22:12:34.057Z,76546099.142,1000000000.0
Nirvana ANA ANA,ANA,4.17,-9.089439307201613e-05,0.11198,-2.495184938534527,3507.07,32159353.0,920.0,17.035501845707575,⚠️ MIXED,Derivatives,4.18,4.15,5.22,2025-09-07T00:17:08.767Z,7718912.73274,7718912.73274
PIVX PIVX,PIVX,0.300192,1.0658968875905022,-17.20862,14.892955175499692,20690078.0,29535781.0,970.0,16.00777544771798,⚡ RECOVERING,Masternodes,0.405177,0.281026,13.56,2018-01-10T00:00:00.000Z,98012777.81907354,98012777.81907354
Thales THALES,THALES,0.304924,0.8986450057548525,2.545,3.4208871877872573,13391.41,19466833.0,1225.0,12.998037095620084,📈 STRONG UPTREND,Derivatives,0.304792,0.287209,3.75,2021-09-16T04:45:25.758Z,63868947.0,100000000.0
Ontology ONT,ONT,0.079193,0.7315459753545894,0.34333,-11.29729917047634,8140588.0,72990314.0,556.0,12.730388526880382,⚠️ MIXED,Masternodes,0.080993,0.07439,10.92,2018-05-03T01:43:05.844Z,918864523.0,1000000000.0
Beldex BDX,BDX,0.081698,0.6275534815577103,1.00941,3.662689346787441,11068740.0,611140483.0,138.0,12.423374717861034,📈 STRONG UPTREND,Masternodes,0.081733,0.08034,0.450785,2018-12-17T00:00:00.000Z,7477276881.213255,9938257866.453709
