rank,coin_id,coin_name,symbol,price,price_change_24h,volume_24h,market_cap,category,scraped_at
,ankr-network,Ankr Network ANKR,ANKR,Buy,1.1%,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.562813
,altlayer,AltLayer ALT,ALT,,1.4%,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.662873
,caldera,Caldera ERA,ERA,,17.6%,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.761125
,dymension,Dymension DYM,DYM,,1.9%,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.863198
,gelato,Gelato GEL,GEL,,0.3%,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:47.001332
,espresso,Espresso ESP,ESP,,N/A,N/A,N/A,Rollups-as-a-Service (RaaS),2025-11-05T13:14:47.097984
,plasma,Plasma XPL,XPL,,4.5%,N/A,N/A,Echo Launchpad,2025-11-05T13:14:53.888388
,lab,LAB LAB,LAB,,1.5%,N/A,N/A,Echo Launchpad,2025-11-05T13:14:54.002152
,dash,Dash DASH,DASH,Buy,6.5%,N/A,N/A,Masternodes,2025-11-05T13:15:00.895632
,beldex,Beldex BDX,BDX,,0.6%,N/A,N/A,Masternodes,2025-11-05T13:15:01.019032
,ontology,Ontology ONT,ONT,,0.7%,N/A,N/A,Masternodes,2025-11-05T13:15:01.156108
,flux-zelcash,Flux FLUX,FLUX,,1.5%,N/A,N/A,Masternodes,2025-11-05T13:15:01.267154
,firo,Firo FIRO,FIRO,,0.2%,N/A,N/A,Masternodes,2025-11-05T13:15:01.407918
,pivx,PIVX PIVX,PIVX,,1.1%,N/A,N/A,Masternodes,2025-11-05T13:15:01.510552
,syscoin,Syscoin SYS,SYS,,0.9%,N/A,N/A,Masternodes,2025-11-05T13:15:01.633962
,viction,Viction VIC,VIC,,3.1%,N/A,N/A,Masternodes,2025-11-05T13:15:01.740327
,divi,Divi DIVI,DIVI,,0.1%,N/A,N/A,Masternodes,2025-11-05T13:15:01.853120
,energi,Energi NRG,NRG,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:01.965676
,axel,AXEL AXEL,AXEL,,0.6%,N/A,N/A,Masternodes,2025-11-05T13:15:02.082085
,spacem-world,SPACEM WORLD SPCM,SPCM,,0.4%,N/A,N/A,Masternodes,2025-11-05T13:15:02.235662
,morpheus-network,Morpheus Network MNW,MNW,,2.5%,N/A,N/A,Masternodes,2025-11-05T13:15:02.387735
,waterfall-2,Waterfall WATER,WATER,,0.9%,N/A,N/A,Masternodes,2025-11-05T13:15:02.508276
,bitcore,BitCore BTX,BTX,,0.4%,N/A,N/A,Masternodes,2025-11-05T13:15:02.621723
,raptoreum,Raptoreum RTM,RTM,,1.1%,N/A,N/A,Masternodes,2025-11-05T13:15:02.736911
,cosanta,Cosanta COSA,COSA,,0.3%,N/A,N/A,Masternodes,2025-11-05T13:15:02.875494
,neoxa,Neoxa NEOX,NEOX,,0.7%,N/A,N/A,Masternodes,2025-11-05T13:15:02.999662
,moneybyte,Moneybyte MON,MON,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:03.107614
,blocxtech,BLOCX. BLOCX,BLOCX,,6.9%,N/A,N/A,Masternodes,2025-11-05T13:15:03.229860
,honest,Honest HNST,HNST,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:03.346607
,terracoin,Terracoin TRC,TRC,,0.6%,N/A,N/A,Masternodes,2025-11-05T13:15:03.476196
,swiftcash,SwiftCash SWIFT,SWIFT,,0.1%,N/A,N/A,Masternodes,2025-11-05T13:15:03.598025
,blocknet,Blocknet BLOCK,BLOCK,,0.4%,N/A,N/A,Masternodes,2025-11-05T13:15:03.730592
,stakecube,Stakecube SCC,SCC,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:03.836778
,smartcash,SmartCash SMART,SMART,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:03.974042
,prcy-coin,PRivaCY Coin PRCY,PRCY,,0.6%,N/A,N/A,Masternodes,2025-11-05T13:15:04.109368
,kira-3,KIRA KIRA,KIRA,,1.0%,N/A,N/A,Masternodes,2025-11-05T13:15:04.233498
,pac-protocol,PAC Protocol PAC,PAC,,0.4%,N/A,N/A,Masternodes,2025-11-05T13:15:04.369910
,wagerr,Wagerr WGR,WGR,,1.2%,N/A,N/A,Masternodes,2025-11-05T13:15:04.499366
,etho-protocol,Etho Protocol ETHO,ETHO,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:04.613286
,dogecash,DogeCash DOGEC,DOGEC,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:04.798021
,crown,Crown CRW,CRW,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:04.940025
,axe,Axe AXE,AXE,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:05.040554
,safedeal,SafeDeal SFD,SFD,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:05.164341
,bolivarcoin,Bolivarcoin BOLI,BOLI,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:05.254510
,monk,Monk MONK,MONK,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:05.354487
,nebula-project,Nebula Project NBLA,NBLA,,N/A,N/A,N/A,Masternodes,2025-11-05T13:15:05.461976
,colossusxt,ColossusXT COLX,COLX,,0.0%,N/A,N/A,Masternodes,2025-11-05T13:15:05.584494
,wrapped-viction,Wrapped Viction WVIC,WVIC,,2.7%,N/A,N/A,Masternodes,2025-11-05T13:15:05.714524
,hyperliquid,Hyperliquid HYPE,HYPE,,2.5%,N/A,N/A,Derivatives,2025-11-05T13:15:13.396925
,pendle,Pendle PENDLE,PENDLE,,1.5%,N/A,N/A,Derivatives,2025-11-05T13:15:13.529345
,myx-finance,MYX Finance MYX,MYX,,5.4%,N/A,N/A,Derivatives,2025-11-05T13:15:13.658177
,synthetix-network-token,Synthetix SNX,SNX,Buy,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:13.773293
,arkham,Arkham ARKM,ARKM,,2.0%,N/A,N/A,Derivatives,2025-11-05T13:15:13.908402
,avantis,Avantis AVNT,AVNT,,1.7%,N/A,N/A,Derivatives,2025-11-05T13:15:14.016345
,drift-protocol,Drift Protocol DRIFT,DRIFT,,1.7%,N/A,N/A,Derivatives,2025-11-05T13:15:14.138474
,awe-network,AWE Network AWE,AWE,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.272243
,apex-token,APEX APEX,APEX,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.405985
,gmx,GMX GMX,GMX,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.551630
,uma,UMA UMA,UMA,,1.5%,N/A,N/A,Derivatives,2025-11-05T13:15:14.673504
,fulcrom,Fulcrom FUL,FUL,,1.3%,N/A,N/A,Derivatives,2025-11-05T13:15:14.777730
,woo,WOO WOO,WOO,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:14.900558
,whiteheart,Whiteheart WHITE,WHITE,,N/A,N/A,N/A,Derivatives,2025-11-05T13:15:15.013833
,aevo,Aevo AEVO,AEVO,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:15.154148
,synthetix-susd,Synthetix sUSD SUSD,SUSD,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:15.269909
,seth,sETH SETH,SETH,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:15.388014
,gains-network,Gains Network GNS,GNS,,0.9%,N/A,N/A,Derivatives,2025-11-05T13:15:15.519800
,nirvana-ana-2,Nirvana ANA ANA,ANA,,0.0%,N/A,N/A,Derivatives,2025-11-05T13:15:15.708876
,derive,Derive DRV,DRV,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:15.843773
,hegic,Hegic HEGIC,HEGIC,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:16.008505
,tradoor,Tradoor TRADOOR,TRADOOR,,0.5%,N/A,N/A,Derivatives,2025-11-05T13:15:16.162189
,thales,Thales THALES,THALES,,0.9%,N/A,N/A,Derivatives,2025-11-05T13:15:16.290294
,adrena,Adrena ADX,ADX,,1.0%,N/A,N/A,Derivatives,2025-11-05T13:15:16.435073
