event_time,BNB_funding_rate,BNB_annual_rate,BTC_funding_rate,BTC_annual_rate,ETH_funding_rate,ETH_annual_rate,SOL_funding_rate,SOL_annual_rate
00:02:48,0.0,0.0,7.398e-05,8.10081,-5.247e-05,-5.745465,2.576e-05,2.82072
00:18:03,0.0,0.0,8.014e-05,8.77533,-4.352e-05,-4.76544,3.899e-05,4.269405
00:33:03,0.0,0.0,8.175e-05,8.951625,-4.049e-05,-4.433655,4.167e-05,4.562865
00:48:03,0.0,0.0,8.059e-05,8.824605,-3.472e-05,-3.80184,3.868e-05,4.23546
01:03:03,0.0,0.0,7.943e-05,8.697585,-2.42e-05,-2.6499,4.059e-05,4.444605
01:18:03,0.0,0.0,7.577e-05,8.296814999999999,-1.019e-05,-1.1158050000000002,3.69e-05,4.0405500000000005
01:33:03,0.0,0.0,7.341e-05,8.038395000000001,3.2e-07,0.03504,3.781e-05,4.140195
01:48:03,0.0,0.0,7.325e-05,8.020875,9.39e-06,1.0282049999999998,3.916e-05,4.28802
02:03:03,0.0,0.0,7.154e-05,7.833629999999999,1.189e-05,1.3019550000000002,3.134e-05,3.4317300000000004
02:18:06,0.0,0.0,6.177e-05,6.763814999999999,6.99e-06,0.765405,2.372e-05,2.59734
02:33:06,0.0,0.0,5.75e-05,6.296250000000001,3.06e-06,0.33507,1.993e-05,2.182335
02:48:06,0.0,0.0,5.195e-05,5.688525,1.97e-06,0.215715,2.697e-05,2.953215
03:03:06,0.0,0.0,5.384e-05,5.89548,2.25e-06,0.2463749999999999,3.586e-05,3.92667
03:18:06,0.0,0.0,5.147e-05,5.635965000000001,-6e-08,-0.0065699999999999,4.019e-05,4.400805
03:33:06,0.0,0.0,4.605e-05,5.042475,-3.7e-07,-0.040515,4.023e-05,4.405185
03:48:06,0.0,0.0,4.619e-05,5.057805000000001,7.98e-06,0.8738099999999999,3.634e-05,3.97923
04:03:06,0.0,0.0,5.847e-05,6.402465,1.598e-05,1.74981,4.78e-05,5.234100000000001
04:18:06,0.0,0.0,6.573e-05,7.197435,1.56e-05,1.7082,5.518e-05,6.04221
04:33:09,0.0,0.0,7.643e-05,8.369085,1.857e-05,2.033415,6.35e-05,6.95325
04:48:09,0.0,0.0,8.781e-05,9.615195,2.322e-05,2.54259,7.187e-05,7.869765000000001
05:03:09,0.0,0.0,8.969e-05,9.821055,3.168e-05,3.46896,7.882e-05,8.63079
05:18:09,0.0,0.0,8.631e-05,9.450945,3.415e-05,3.739425,7.698e-05,8.429310000000001
05:33:09,0.0,0.0,8.581e-05,9.396195,3.747e-05,4.102964999999999,7.719e-05,8.452305
05:48:09,0.0,0.0,8.266e-05,9.05127,3.845e-05,4.210275,6.89e-05,7.54455
06:03:09,0.0,0.0,8.324e-05,9.11478,3.698e-05,4.04931,6.195e-05,6.783525
06:18:09,0.0,0.0,8.627e-05,9.446565,3.707e-05,4.059165000000001,5.504e-05,6.026879999999999
06:33:09,0.0,0.0,8.82e-05,9.6579,4.014e-05,4.39533,5.097e-05,5.581214999999999
06:48:09,0.0,0.0,9.231e-05,10.107945,4.608e-05,5.04576,5.715e-05,6.257925
07:03:09,0.0,0.0,8.929e-05,9.777254999999998,4.674e-05,5.11803,4.874e-05,5.33703
07:18:09,0.0,0.0,8.53e-05,9.34035,4.824e-05,5.282279999999999,4.773e-05,5.226435
07:33:15,0.0,0.0,7.587e-05,8.307765,4.407e-05,4.825665000000001,4.174e-05,4.57053
07:48:18,0.0,0.0,6.838e-05,7.487610000000002,3.863e-05,4.229985,3.638e-05,3.98361
08:03:18,0.0,0.0,6.254e-05,6.848129999999999,3.365e-05,3.684675,3.617e-05,3.960615
08:18:18,0.0,0.0,5.627e-05,6.161565,2.946e-05,3.22587,3.643e-05,3.9890850000000007
08:33:21,0.0,0.0,5.265e-05,5.765174999999999,2.855e-05,3.126225,4.223e-05,4.624185
08:48:21,0.0,0.0,4.672e-05,5.11584,2.183e-05,2.390385,4.589e-05,5.024955
