symbol,name,price,token_id,exchange,sz_decimals,discovered_at
0G,0G,1.26565,0g,hyperliquid,0,2025-11-03T16:43:24.969238
2Z,2Z,0.154345,2z,hyperliquid,0,2025-11-03T16:43:24.969248
AAVE,AAVE,202.23,aave,hyperliquid,2,2025-11-03T16:43:24.968114
ACE,ACE,0.2394,ace,hyperliquid,2,2025-11-03T16:43:24.968717
ADA,ADA,0.550005,ada,hyperliquid,0,2025-11-03T16:43:24.968558
AI,AI,0.12555,ai,hyperliquid,1,2025-11-03T16:43:24.968823
AI16Z,AI16Z,0.06886,ai16z,hyperliquid,1,2025-11-03T16:43:24.969029
AIXBT,AIXBT,0.064461,aixbt,hyperliquid,0,2025-11-03T16:43:24.969033
ALGO,ALGO,0.158595,algo,hyperliquid,0,2025-11-03T16:43:24.968998
ALT,ALT,0.016496,alt,hyperliquid,0,2025-11-03T16:43:24.968789
ANIME,ANIME,0.007471,anime,hyperliquid,0,2025-11-03T16:43:24.969069
APE,APE,0.36411,ape,hyperliquid,1,2025-11-03T16:43:24.968032
APEX,APEX,0.831935,apex,hyperliquid,0,2025-11-03T16:43:24.969245
APT,APT,2.8839,apt,hyperliquid,2,2025-11-03T16:43:24.968105
AR,AR,3.7248,ar,hyperliquid,2,2025-11-03T16:43:24.968830
ARB,ARB,0.26357,arb,hyperliquid,1,2025-11-03T16:43:24.968044
ARK,ARK,0.283475,ark,hyperliquid,0,2025-11-03T16:43:24.968521
ASTER,ASTER,0.929775,aster,hyperliquid,0,2025-11-03T16:43:24.969210
ATOM,ATOM,2.6622,atom,hyperliquid,2,2025-11-03T16:43:24.968005
AVAX,AVAX,16.4715,avax,hyperliquid,2,2025-11-03T16:43:24.968024
AVNT,AVNT,0.55704,avnt,hyperliquid,0,2025-11-03T16:43:24.969222
BABY,BABY,0.023599,baby,hyperliquid,0,2025-11-03T16:43:24.969137
BADGER,BADGER,0.88823,badger,hyperliquid,1,2025-11-03T16:43:24.968608
BANANA,BANANA,10.464,banana,hyperliquid,1,2025-11-03T16:43:24.968499
BCH,BCH,510.455,bch,hyperliquid,3,2025-11-03T16:43:24.968101
BERA,BERA,1.5791,bera,hyperliquid,1,2025-11-03T16:43:24.969105
BIGTIME,BIGTIME,0.026916,bigtime,hyperliquid,0,2025-11-03T16:43:24.968537
BIO,BIO,0.076336,bio,hyperliquid,0,2025-11-03T16:43:24.969040
BLAST,BLAST,0.001183,blast,hyperliquid,0,2025-11-03T16:43:24.968913
BLUR,BLUR,0.042578,blur,hyperliquid,0,2025-11-03T16:43:24.968548
BLZ,BLZ,0.070043,blz,hyperliquid,0,2025-11-03T16:43:24.968490
BNB,BNB,983.755,bnb,hyperliquid,3,2025-11-03T16:43:24.968028
BNT,BNT,0.38287,bnt,hyperliquid,0,2025-11-03T16:43:24.968525
BOME,BOME,0.000847,bome,hyperliquid,0,2025-11-03T16:43:24.968842
BRETT,BRETT,0.022808,brett,hyperliquid,0,2025-11-03T16:43:24.968903
BSV,BSV,20.5645,bsv,hyperliquid,2,2025-11-03T16:43:24.968555
BTC,BTC,105869.5,btc,hyperliquid,5,2025-11-03T16:43:24.967979
CAKE,CAKE,2.20225,cake,hyperliquid,1,2025-11-03T16:43:24.968728
CANTO,CANTO,0.066,canto,hyperliquid,0,2025-11-03T16:43:24.968529
CATI,CATI,0.082821,cati,hyperliquid,0,2025-11-03T16:43:24.968938
CC,CC,0.154035,cc,hyperliquid,0,2025-11-03T16:43:24.969267
CELO,CELO,0.234145,celo,hyperliquid,0,2025-11-03T16:43:24.968947
CFX,CFX,0.090361,cfx,hyperliquid,0,2025-11-03T16:43:24.968082
CHILLGUY,CHILLGUY,0.022369,chillguy,hyperliquid,0,2025-11-03T16:43:24.968987
COMP,COMP,32.379,comp,hyperliquid,2,2025-11-03T16:43:24.968118
CRV,CRV,0.4232,crv,hyperliquid,1,2025-11-03T16:43:24.968064
CYBER,CYBER,1.0415,cyber,hyperliquid,1,2025-11-03T16:43:24.968209
DOGE,DOGE,0.167775,doge,hyperliquid,0,2025-11-03T16:43:24.968048
DOOD,DOOD,0.006256,dood,hyperliquid,0,2025-11-03T16:43:24.969155
DOT,DOT,2.585,dot,hyperliquid,1,2025-11-03T16:43:24.968495
DYDX,DYDX,0.26805,dydx,hyperliquid,1,2025-11-03T16:43:24.968015
DYM,DYM,0.08118,dym,hyperliquid,1,2025-11-03T16:43:24.968797
EIGEN,EIGEN,0.7578,eigen,hyperliquid,2,2025-11-03T16:43:24.968888
ENA,ENA,0.3363,ena,hyperliquid,0,2025-11-03T16:43:24.968849
ENS,ENS,13.3305,ens,hyperliquid,2,2025-11-03T16:43:24.968744
ETC,ETC,14.767,etc,hyperliquid,2,2025-11-03T16:43:24.968753
ETH,ETH,3589.15,eth,hyperliquid,4,2025-11-03T16:43:24.967998
ETHFI,ETHFI,0.88871,ethfi,hyperliquid,1,2025-11-03T16:43:24.968845
FARTCOIN,FARTCOIN,0.27067,fartcoin,hyperliquid,1,2025-11-03T16:43:24.969026
FET,FET,0.2101,fet,hyperliquid,0,2025-11-03T16:43:24.968590
FIL,FIL,1.48255,fil,hyperliquid,1,2025-11-03T16:43:24.968620
FRIEND,FRIEND,4.72,friend,hyperliquid,1,2025-11-03T16:43:24.968194
FTM,FTM,0.71688,ftm,hyperliquid,0,2025-11-03T16:43:24.968086
FTT,FTT,0.81723,ftt,hyperliquid,1,2025-11-03T16:43:24.968507
FXS,FXS,1.2139,fxs,hyperliquid,1,2025-11-03T16:43:24.968147
GALA,GALA,0.008827,gala,hyperliquid,0,2025-11-03T16:43:24.968706
GAS,GAS,2.3076,gas,hyperliquid,1,2025-11-03T16:43:24.968578
GMT,GMT,0.021956,gmt,hyperliquid,0,2025-11-03T16:43:24.968659
GMX,GMX,8.7387,gmx,hyperliquid,2,2025-11-03T16:43:24.968089
GOAT,GOAT,0.04502,goat,hyperliquid,0,2025-11-03T16:43:24.968966
GRASS,GRASS,0.28678,grass,hyperliquid,1,2025-11-03T16:43:24.968973
GRIFFAIN,GRIFFAIN,0.017309,griffain,hyperliquid,0,2025-11-03T16:43:24.969044
HBAR,HBAR,0.175915,hbar,hyperliquid,0,2025-11-03T16:43:24.968875
HEMI,HEMI,0.035481,hemi,hyperliquid,0,2025-11-03T16:43:24.969241
